"name","standing","numWins","numLoss","isChampion","season","seasonStart","seasonEnd"
"Cavaliers","13","24","58","False","2012-2013","2012","2013"
"Cavaliers","10","33","49","False","2013-2014","2013","2014"
"Cavaliers","2","53","29","False","2014-2015","2014","2015"
"Cavaliers","1","57","25","False","2015-2016","2015","2016"
"Cavaliers","2","51","31","False","2016-2017","2016","2017"
"Cavaliers","4","50","32","False","2017-2018","2017","2018"
"Cavaliers","14","19","63","False","2018-2019","2018","2019"
"Cavaliers","15","19","46","False","2019-2020","2019","2020"
"Cavaliers","13","22","50","False","2020-2021","2020","2021"
"Hornets","5","47","35","False","2002-2003","2002","2003"
"Hornets","5","41","41","False","2003-2004","2003","2004"
"Hornets","15","18","64","False","2004-2005","2004","2005"
"Hornets","10","38","44","False","2005-2006","2005","2006"
"Hornets","10","39","43","False","2006-2007","2006","2007"
"Hornets","2","56","26","False","2007-2008","2007","2008"
"Hornets","7","49","33","False","2008-2009","2008","2009"
"Hornets","11","37","45","False","2009-2010","2009","2010"
"Hornets","7","46","36","False","2010-2011","2010","2011"
"Hornets","15","21","45","False","2011-2012","2011","2012"
"Hornets","14","27","55","False","2012-2013","2012","2013"
"Pelicans","12","34","48","False","2013-2014","2013","2014"
"Pelicans","8","45","37","False","2014-2015","2014","2015"
"Pelicans","12","30","52","False","2015-2016","2015","2016"
"Pelicans","10","34","48","False","2016-2017","2016","2017"
"Pelicans","6","48","34","False","2017-2018","2017","2018"
"Pelicans","13","33","49","False","2018-2019","2018","2019"
"Pelicans","13","30","42","False","2019-2020","2019","2020"
"Pelicans","11","31","41","False","2020-2021","2020","2021"
"Bulls","5","45","37","False","1980-1981","1980","1981"
"Bulls","9","34","48","False","1981-1982","1981","1982"
"Bulls","9","28","54","False","1982-1983","1982","1983"
"Bulls","10","27","55","False","1983-1984","1983","1984"
"Bulls","7","38","44","False","1984-1985","1984","1985"
"Bulls","8","30","52","False","1985-1986","1985","1986"
"Bulls","8","40","42","False","1986-1987","1986","1987"
"Bulls","3","50","32","False","1987-1988","1987","1988"
"Bulls","6","47","35","False","1988-1989","1988","1989"
"Bulls","3","55","27","False","1989-1990","1989","1990"
"Bulls","1","61","21","False","1990-1991","1990","1991"
"Bulls","1","67","15","False","1991-1992","1991","1992"
"Bulls","2","57","25","False","1992-1993","1992","1993"
"Bulls","3","55","27","False","1993-1994","1993","1994"
"Bulls","5","47","35","False","1994-1995","1994","1995"
"Bulls","1","72","10","False","1995-1996","1995","1996"
"Bulls","1","69","13","False","1996-1997","1996","1997"
"Bulls","1","62","20","False","1997-1998","1997","1998"
"Bulls","15","13","37","False","1998-1999","1998","1999"
"Bulls","15","17","65","False","1999-2000","1999","2000"
"Bulls","15","15","67","False","2000-2001","2000","2001"
"Bulls","15","21","61","False","2001-2002","2001","2002"
"Bulls","12","30","52","False","2002-2003","2002","2003"
"Bulls","14","23","59","False","2003-2004","2003","2004"
"Bulls","3","47","35","False","2004-2005","2004","2005"
"Bulls","7","41","41","False","2005-2006","2005","2006"
"Bulls","5","49","33","False","2006-2007","2006","2007"
"Bulls","11","33","49","False","2007-2008","2007","2008"
"Bulls","7","41","41","False","2008-2009","2008","2009"
"Bulls","8","41","41","False","2009-2010","2009","2010"
"Bulls","1","62","20","False","2010-2011","2010","2011"
"Bulls","1","50","16","False","2011-2012","2011","2012"
"Bulls","5","45","37","False","2012-2013","2012","2013"
"Bulls","4","48","34","False","2013-2014","2013","2014"
"Bulls","3","50","32","False","2014-2015","2014","2015"
"Bulls","9","42","40","False","2015-2016","2015","2016"
"Bulls","8","41","41","False","2016-2017","2016","2017"
"Bulls","13","27","55","False","2017-2018","2017","2018"
"Bulls","13","22","60","False","2018-2019","2018","2019"
"Bulls","11","22","43","False","2019-2020","2019","2020"
"Bulls","11","31","41","False","2020-2021","2020","2021"
"Mavericks","12","15","67","False","1980-1981","1980","1981"
"Mavericks","10","28","54","False","1981-1982","1981","1982"
"Mavericks","8","38","44","False","1982-1983","1982","1983"
"Mavericks","4","43","39","False","1983-1984","1983","1984"
"Mavericks","4","44","38","False","1984-1985","1984","1985"
"Mavericks","4","44","38","False","1985-1986","1985","1986"
"Mavericks","2","55","27","False","1986-1987","1986","1987"
"Mavericks","3","53","29","False","1987-1988","1987","1988"
"Mavericks","9","38","44","False","1988-1989","1988","1989"
"Mavericks","6","47","35","False","1989-1990","1989","1990"
"Mavericks","12","28","54","False","1990-1991","1990","1991"
"Mavericks","12","22","60","False","1991-1992","1991","1992"
"Mavericks","13","11","71","False","1992-1993","1992","1993"
"Mavericks","13","13","69","False","1993-1994","1993","1994"
"Mavericks","10","36","46","False","1994-1995","1994","1995"
"Mavericks","12","26","56","False","1995-1996","1995","1996"
"Mavericks","11","24","58","False","1996-1997","1996","1997"
"Mavericks","10","20","62","False","1997-1998","1997","1998"
"Mavericks","11","19","31","False","1998-1999","1998","1999"
"Mavericks","9","40","42","False","1999-2000","1999","2000"
"Mavericks","4","53","29","False","2000-2001","2000","2001"
"Mavericks","4","57","25","False","2001-2002","2001","2002"
"Mavericks","3","60","22","False","2002-2003","2002","2003"
"Mavericks","5","52","30","False","2003-2004","2003","2004"
"Mavericks","3","58","24","False","2004-2005","2004","2005"
"Mavericks","2","60","22","False","2005-2006","2005","2006"
"Mavericks","1","67","15","False","2006-2007","2006","2007"
"Mavericks","7","51","31","False","2007-2008","2007","2008"
"Mavericks","6","50","32","False","2008-2009","2008","2009"
"Mavericks","2","55","27","False","2009-2010","2009","2010"
"Mavericks","3","57","25","False","2010-2011","2010","2011"
"Mavericks","7","36","30","False","2011-2012","2011","2012"
"Mavericks","10","41","41","False","2012-2013","2012","2013"
"Mavericks","8","49","33","False","2013-2014","2013","2014"
"Mavericks","7","50","32","False","2014-2015","2014","2015"
"Mavericks","6","42","40","False","2015-2016","2015","2016"
"Mavericks","11","33","49","False","2016-2017","2016","2017"
"Mavericks","13","24","58","False","2017-2018","2017","2018"
"Mavericks","14","33","49","False","2018-2019","2018","2019"
"Mavericks","7","43","32","False","2019-2020","2019","2020"
"Mavericks","5","42","30","False","2020-2021","2020","2021"
"Nuggets","8","37","45","False","1980-1981","1980","1981"
"Nuggets","4","46","36","False","1981-1982","1981","1982"
"Nuggets","6","45","37","False","1982-1983","1982","1983"
"Nuggets","7","38","44","False","1983-1984","1983","1984"
"Nuggets","2","52","30","False","1984-1985","1984","1985"
"Nuggets","3","47","35","False","1985-1986","1985","1986"
"Nuggets","8","37","45","False","1986-1987","1986","1987"
