"id","name","standing","numWins","numLoss","isChampion","season","seasonStart","seasonEnd"
"1610612737","Hawks","8","31","51","False","1980-1981","1980","1981"
"1610612737","Hawks","6","42","40","False","1981-1982","1981","1982"
"1610612737","Hawks","6","43","39","False","1982-1983","1982","1983"
"1610612737","Hawks","7","40","42","False","1983-1984","1983","1984"
"1610612737","Hawks","9","34","48","False","1984-1985","1984","1985"
"1610612737","Hawks","4","50","32","False","1985-1986","1985","1986"
"1610612737","Hawks","2","57","25","False","1986-1987","1986","1987"
"1610612737","Hawks","3","50","32","False","1987-1988","1987","1988"
"1610612737","Hawks","4","52","30","False","1988-1989","1988","1989"
"1610612737","Hawks","9","41","41","False","1989-1990","1989","1990"
"1610612737","Hawks","6","43","39","False","1990-1991","1990","1991"
"1610612737","Hawks","8","38","44","False","1991-1992","1991","1992"
"1610612737","Hawks","6","43","39","False","1992-1993","1992","1993"
"1610612737","Hawks","1","57","25","False","1993-1994","1993","1994"
"1610612737","Hawks","7","42","40","False","1994-1995","1994","1995"
"1610612737","Hawks","6","46","36","False","1995-1996","1995","1996"
"1610612737","Hawks","4","56","26","False","1996-1997","1996","1997"
"1610612737","Hawks","5","50","32","False","1997-1998","1997","1998"
"1610612737","Hawks","4","31","19","False","1998-1999","1998","1999"
"1610612737","Hawks","14","28","54","False","1999-2000","1999","2000"
"1610612737","Hawks","13","25","57","False","2000-2001","2000","2001"
"1610612737","Hawks","12","33","49","False","2001-2002","2001","2002"
"1610612737","Hawks","11","35","47","False","2002-2003","2002","2003"
"1610612737","Hawks","12","28","54","False","2003-2004","2003","2004"
"1610612737","Hawks","15","13","69","False","2004-2005","2004","2005"
"1610612737","Hawks","14","26","56","False","2005-2006","2005","2006"
"1610612737","Hawks","13","30","52","False","2006-2007","2006","2007"
"1610612737","Hawks","8","37","45","False","2007-2008","2007","2008"
"1610612737","Hawks","4","47","35","False","2008-2009","2008","2009"
"1610612737","Hawks","3","53","29","False","2009-2010","2009","2010"
"1610612737","Hawks","5","44","38","False","2010-2011","2010","2011"
"1610612737","Hawks","5","40","26","False","2011-2012","2011","2012"
"1610612737","Hawks","6","44","38","False","2012-2013","2012","2013"
"1610612737","Hawks","8","38","44","False","2013-2014","2013","2014"
"1610612737","Hawks","1","60","22","False","2014-2015","2014","2015"
"1610612737","Hawks","4","48","34","False","2015-2016","2015","2016"
"1610612737","Hawks","5","43","39","False","2016-2017","2016","2017"
"1610612737","Hawks","15","24","58","False","2017-2018","2017","2018"
"1610612737","Hawks","12","29","53","False","2018-2019","2018","2019"
"1610612737","Hawks","14","20","47","False","2019-2020","2019","2020"
"1610612737","Hawks","5","41","31","False","2020-2021","2020","2021"
"1610612738","Celtics","1","62","20","False","1980-1981","1980","1981"
"1610612738","Celtics","1","63","19","False","1981-1982","1981","1982"
"1610612738","Celtics","3","56","26","False","1982-1983","1982","1983"
"1610612738","Celtics","1","62","20","False","1983-1984","1983","1984"
"1610612738","Celtics","1","63","19","False","1984-1985","1984","1985"
"1610612738","Celtics","1","67","15","False","1985-1986","1985","1986"
"1610612738","Celtics","1","59","23","False","1986-1987","1986","1987"
"1610612738","Celtics","1","57","25","False","1987-1988","1987","1988"
"1610612738","Celtics","8","42","40","False","1988-1989","1988","1989"
"1610612738","Celtics","4","52","30","False","1989-1990","1989","1990"
"1610612738","Celtics","2","56","26","False","1990-1991","1990","1991"
"1610612738","Celtics","2","51","31","False","1991-1992","1991","1992"
"1610612738","Celtics","4","48","34","False","1992-1993","1992","1993"
"1610612738","Celtics","10","32","50","False","1993-1994","1993","1994"
"1610612738","Celtics","8","35","47","False","1994-1995","1994","1995"
"1610612738","Celtics","11","33","49","False","1995-1996","1995","1996"
"1610612738","Celtics","15","15","67","False","1996-1997","1996","1997"
"1610612738","Celtics","12","36","46","False","1997-1998","1997","1998"
"1610612738","Celtics","12","19","31","False","1998-1999","1998","1999"
"1610612738","Celtics","10","35","47","False","1999-2000","1999","2000"
"1610612738","Celtics","9","36","46","False","2000-2001","2000","2001"
"1610612738","Celtics","3","49","33","False","2001-2002","2001","2002"
"1610612738","Celtics","6","44","38","False","2002-2003","2002","2003"
"1610612738","Celtics","8","36","46","False","2003-2004","2003","2004"
